university_name,gre,tuition_per_semester,student_faculty_ratio,cost_of_living,job_placement_alumni_success,branch
Columbia University - The Fu Foundation School of Engineering and Applied Science,338,51260.0,6.0,40800,99,Mechanical Engineering
Princeton University - School of Engineering and Applied Science,333,51250.0,5.0,40800,97,Mechanical Engineering
Harvard University - John A. Paulson School of Engineering and Applied Sciences,337,49214.0,9.0,40800,97,Mechanical Engineering
Massachusetts Institute of Technology - School of Engineering,335,56704.0,3.0,40800,95,Mechanical Engineering
Yale University - School of Engineering and Applied Sciences,337,44500.0,6.0,40800,95,Mechanical Engineering
University of California San Diego - Jacobs School of Engineering,333,28713.0,23.0,22800,98,Mechanical Engineering
University of California Los Angeles - Henry Samueli School of Engineering and Applied Science,337,42994.0,18.0,22800,98,Mechanical Engineering
University of California Berkeley - School of Engineering,338,29289.0,20.0,22800,97,Mechanical Engineering
Carnegie Mellon University - College of Engineering,331,44880.0,13.0,40800,99,Mechanical Engineering
University of Pennsylvania - School of Engineering and Applied Science,333,40183.0,6.0,40800,98,Mechanical Engineering
Rice University - George R. Brown School of Engineering,339,47350.0,6.0,40320,97,Mechanical Engineering
University of Michigan Ann Arbor - College of Engineering,338,48612.0,15.0,22800,96,Mechanical Engineering
Georgia Institute of Technology - College of Engineering,332,33794.0,20.0,22800,95,Mechanical Engineering
University of Illinois Urbana-Champaign - College of Engineering,336,31626.0,20.0,22800,98,Mechanical Engineering
Cornell University - College of Engineering,331,30564.0,10.0,39600,96,Mechanical Engineering
Johns Hopkins University - Whiting School of Engineering,339,57556.0,9.0,40800,95,Mechanical Engineering
Duke University - Pratt School of Engineering,338,59604.0,9.0,40800,97,Mechanical Engineering
Brown University - School of Engineering,334,62184.0,7.0,40800,97,Mechanical Engineering
Purdue University - College of Engineering,337,28794.0,14.0,19464,97,Mechanical Engineering
University of Texas Austin - Cockrell School of Engineering,334,24640.0,17.0,22800,98,Mechanical Engineering
University of Wisconsin Madison - College of Engineering,338,37785.0,17.0,22800,99,Mechanical Engineering
Iowa State University - College of Engineering,338,24056.0,19.0,19248,99,Mechanical Engineering
Northwestern University - Robert R. McCormick School of Engineering,337,54568.0,6.0,42000,95,Mechanical Engineering
Vanderbilt University - School of Engineering,335,49866.0,8.0,40800,98,Mechanical Engineering
University of Virginia - School of Engineering and Applied Sciences,335,34628.0,15.0,39600,97,Mechanical Engineering
University of Minnesota Twin Cities - College of Science and Engineering,335,29172.0,17.0,22800,98,Mechanical Engineering
Rensselaer Polytechnic Institute - School of Engineering,333,56004.0,19.0,40800,97,Mechanical Engineering
University of Rochester - Hajim School of Engineering and Applied Sciences,332,43500.0,10.0,39600,96,Mechanical Engineering
University of Southern California - Viterbi School of Engineering,334,61614.0,9.0,40800,98,Mechanical Engineering
University of Maryland College Park - A. James Clark School of Engineering,331,29706.0,15.0,22800,98,Mechanical Engineering
Ohio State University - College of Engineering,333,40994.0,19.0,20760,97,Mechanical Engineering
Virginia Tech - College of Engineering,338,31174.0,14.0,22800,97,Mechanical Engineering
University of California Irvine - Henry Samueli School of Engineering,337,44742.0,14.0,22800,96,Mechanical Engineering
Texas A&M University - Dwight Look College of Engineering,332,30208.0,20.0,19344,96,Mechanical Engineering
North Carolina State University - College of Engineering,338,28418.0,13.0,20448,97,Mechanical Engineering
University of California Santa Barbara - College of Engineering,335,28289.0,24.0,22800,99,Mechanical Engineering
University of Washington - College of Engineering,334,35538.0,19.0,22800,98,Mechanical Engineering
University of California Davis - College of Engineering,332,29429.0,18.0,22800,99,Mechanical Engineering
University of Colorado Boulder - College of Engineering and Applied Sciences,331,36130.0,18.0,21384,95,Mechanical Engineering
Pennsylvania State University University Park - College of Engineering,340,37504.0,16.0,20880,96,Mechanical Engineering
New York University - Tandon School of Engineering,337,50464.0,15.0,39888,96,Mechanical Engineering
Case Western Reserve University - Case School of Engineering,333,38884.0,11.0,39600,96,Mechanical Engineering
University of Florida - Herbert Wertheim College of Engineering,340,30130.0,18.0,20616,97,Mechanical Engineering
University of Pittsburgh - Swanson School of Engineering,333,30594.0,14.0,29832,98,Mechanical Engineering
Arizona State University - Ira A. Fulton Schools of Engineering,335,28800.0,23.0,21912,99,Mechanical Engineering
University of Notre Dame - College of Engineering,333,55553.0,11.0,39600,95,Mechanical Engineering
Northeastern University - College of Engineering,338,25085.0,14.0,37428,96,Mechanical Engineering
University of Delaware - College of Engineering​,333,33150.0,14.0,20760,96,Mechanical Engineering
California State University,295,15000.0,20.0,23496,87,Construction Engineering
"California State University, Fresno",295,17000.0,19.0,18912,81,Construction Engineering
Cleveland State University,296,18000.0,18.0,18234,86,Construction Engineering
Kent State University,300,17500.0,19.0,17342,86,Construction Engineering
New York Institute of Technology,291,20500.0,17.0,36588,86,Construction Engineering
University of Louisville,290,19000.0,18.0,17192,88,Construction Engineering
University of Houston,291,21000.0,17.0,16888,86,Construction Engineering
"California State University, Chico",290,16500.0,20.0,23496,82,Construction Engineering
Oklahoma City University,290,19500.0,18.0,22530,79,Construction Engineering
"State University of New York, Albany",296,18000.0,19.0,20952,88,Construction Engineering
"Texas A & M University, Commerce",295,20500.0,17.0,18036,87,Construction Engineering
Lamar University,292,17000.0,20.0,16888,79,Construction Engineering
University of Hawaii,293,22000.0,16.0,21600,86,Construction Engineering
University of Denver,295,21500.0,17.0,21384,83,Construction Engineering
Loyola University Chicago,296,19000.0,18.0,39696,83,Construction Engineering
"Illinois State University, Normal",290,18500.0,19.0,18240,79,Construction Engineering
"Temple University, PA",298,20000.0,17.0,36144,78,Construction Engineering
Jackson State University,297,17500.0,20.0,16884,83,Construction Engineering
Long Island University (LIU),294,19500.0,18.0,36918,83,Construction Engineering
South Dakota State University,291,16500.0,20.0,16872,86,Construction Engineering
North Dakota State University,291,17000.0,19.0,16320,83,Construction Engineering
Cleveland State University (additional entry),290,18000.0,18.0,18234,88,Construction Engineering
Bradley University,293,21000.0,17.0,19248,88,Construction Engineering
University of Bridgeport,299,20500.0,17.0,27414,78,Construction Engineering
University of Dayton,299,19500.0,18.0,20088,86,Construction Engineering
"Texas A & M University, Kingsville",294,20500.0,17.0,18504,87,Construction Engineering
"University of West Florida, Pensacola",293,18500.0,19.0,18588,87,Construction Engineering
Eastern Michigan University,300,17500.0,20.0,18096,81,Construction Engineering
"Minnesota State University, Mankato",294,16500.0,20.0,18000,80,Construction Engineering
"Suffolk University, MA",290,19000.0,18.0,37428,87,Construction Engineering
"University of North Carolina, Greensboro",299,18500.0,19.0,19140,78,Construction Engineering
New Mexico Institute of Mining & Tech.,300,20000.0,17.0,18408,87,Construction Engineering
University of Central Arkansas,300,17000.0,20.0,17232,88,Construction Engineering
"Southeastern University, DC",293,21000.0,17.0,33356,78,Construction Engineering
"University of Texas, Tyler",299,19500.0,18.0,19656,80,Construction Engineering
Eastern Washington University,300,19500.0,18.0,21600,81,Construction Engineering
"Southern Oregon University, Ashland",294,18500.0,19.0,19992,87,Construction Engineering
University of Texas at San Antonio,296,20000.0,17.0,18096,86,Construction Engineering
State University of West Georgia,300,17500.0,20.0,20016,86,Construction Engineering
Ball State University,296,16500.0,20.0,19296,88,Construction Engineering
University of Texas El Paso,298,17000.0,19.0,18504,88,Construction Engineering
Columbus State University,298,18000.0,18.0,20172,82,Construction Engineering
Arkansas State University,292,19000.0,18.0,17232,80,Construction Engineering
Dakota State University,290,20500.0,17.0,16320,78,Construction Engineering
St Cloud State University,295,17500.0,20.0,18000,86,Construction Engineering
Marquette University,291,21000.0,17.0,39696,83,Construction Engineering
City College of the City of New York,291,20500.0,17.0,39888,82,Construction Engineering
Northeastern Illinois University,298,19500.0,18.0,18924,78,Construction Engineering
University of Detroit Mercy,295,18500.0,19.0,18924,80,Construction Engineering
Alabama A & M University,299,17000.0,20.0,13893,85,Construction Engineering
Arizona State University,302,21000.0,17.0,21912,85,Construction Engineering
Stevens Institute of Technology,310,22000.0,16.0,37056,89,Construction Engineering
University of Central Florida,308,20500.0,17.0,18588,86,Construction Engineering
Drexel University,301,21500.0,17.0,38232,91,Construction Engineering
SUNY Institute of Technology,304,20000.0,17.0,20952,89,Construction Engineering
Tennessee Technological University,301,19500.0,18.0,14364,91,Construction Engineering
University of Oklahoma,304,20500.0,17.0,19248,92,Construction Engineering
Kansas State University,309,20000.0,17.0,18048,85,Construction Engineering
West Virginia University,308,19500.0,18.0,18240,91,Construction Engineering
Oregon State University,301,20000.0,17.0,21600,85,Construction Engineering
University of Nevada – Las Vegas,304,20500.0,17.0,19560,87,Construction Engineering
San Diego State University,302,21000.0,17.0,18901,86,Construction Engineering
Kent State University,303,17500.0,20.0,17342,91,Construction Engineering
Northern Illinois University,304,18000.0,18.0,18924,87,Construction Engineering
Western Kentucky University,302,19000.0,17.0,17724,90,Construction Engineering
Central Michigan University,305,18500.0,19.0,18096,85,Construction Engineering
Cleveland State University,301,18000.0,18.0,18234,92,Construction Engineering
Texas A&M University,307,20500.0,17.0,18036,89,Construction Engineering
Western Carolina University,302,17500.0,20.0,14508,89,Construction Engineering
University of Nevada,306,20500.0,17.0,22800,91,Construction Engineering
University of South Florida,306,20000.0,17.0,18588,88,Construction Engineering
SUNY Binghamton,307,20000.0,17.0,22944,88,Construction Engineering
Southern Methodist University,307,21000.0,17.0,39696,86,Construction Engineering
Stevens Institute of Technology (additional entry),308,22000.0,16.0,37056,88,Construction Engineering
University of Nebraska,301,19500.0,18.0,19248,89,Construction Engineering
New Jersey Institute of Technology,305,21500.0,17.0,35456,87,Construction Engineering
University of Tampa,309,19500.0,18.0,18588,87,Construction Engineering
University of Houston,302,21000.0,17.0,16888,90,Construction Engineering
Colorado State University,308,20000.0,17.0,20400,85,Construction Engineering
Rochester Institute of Technology,306,22000.0,16.0,31512,91,Construction Engineering
Louisiana State University,304,20000.0,17.0,17952,92,Construction Engineering
Auburn University,305,19500.0,18.0,17028,85,Construction Engineering
University of Kentucky,305,18500.0,19.0,17192,92,Construction Engineering
University of Kansas,306,20000.0,17.0,19140,86,Construction Engineering
North Dakota State University,302,17000.0,19.0,16320,88,Construction Engineering
Drexel University (additional entry),307,21500.0,17.0,38232,89,Construction Engineering
University of Arkansas,305,20500.0,16.0,17232,90,Construction Engineering
University of Dayton,303,19500.0,18.0,20088,86,Construction Engineering
University of New Mexico,302,20500.0,17.0,18408,88,Construction Engineering
Villanova University,307,22000.0,16.0,40800,89,Construction Engineering
Wright State University,310,19500.0,18.0,17244,88,Construction Engineering
Illinois Institute of Technology,304,21000.0,17.0,39696,86,Construction Engineering
Kansas State University (additional entry),302,20000.0,17.0,18048,88,Construction Engineering
Missouri State University,301,19000.0,18.0,17760,86,Construction Engineering
Northeastern University,303,21000.0,17.0,37428,88,Construction Engineering
Oklahoma State University,303,20500.0,17.0,17232,92,Construction Engineering
Oregon State University (additional entry),310,20000.0,17.0,21600,90,Construction Engineering
State University of New York Albany,304,18000.0,18.0,20952,86,Construction Engineering
Tennessee Technological University (additional entry),304,19500.0,18.0,14364,92,Construction Engineering
Texas Tech University,307,19000.0,18.0,18096,86,Construction Engineering
Pennsylvania State University,313,19000.0,18.0,20880,92,Construction Engineering
Ohio State University,315,20000.0,17.0,20760,90,Construction Engineering
North Carolina State University,314,19500.0,18.0,20448,93,Construction Engineering
Boston University,318,21000.0,17.0,36918,92,Construction Engineering
"University of Colorado, Boulder",313,20000.0,17.0,21384,93,Construction Engineering
Indiana University Bloomington,314,19500.0,18.0,19296,95,Construction Engineering
Arizona State University,316,21000.0,17.0,21912,95,Construction Engineering
"University of North Carolina, Greensboro",316,18500.0,19.0,19140,94,Construction Engineering
Louisiana State University,311,20000.0,17.0,17952,90,Construction Engineering
The University of Alabama at Birmingham,316,19000.0,18.0,17754,92,Construction Engineering
New York University,311,22000.0,16.0,39888,95,Construction Engineering
University of Iowa,315,19000.0,18.0,19248,95,Construction Engineering
"University of Michigan, Dearborn",315,18500.0,19.0,20760,90,Construction Engineering
"University of Texas, Dallas",319,21000.0,17.0,19656,91,Construction Engineering
University of South Florida,318,20000.0,17.0,18588,95,Construction Engineering
Colorado State University,318,20000.0,17.0,20400,94,Construction Engineering
University of Florida,317,19500.0,18.0,20616,95,Construction Engineering
Tulane University,318,22000.0,16.0,33732,91,Construction Engineering
University of Southern California,314,21000.0,17.0,39696,95,Construction Engineering
University of California – Davis,317,20500.0,17.0,22800,90,Construction Engineering
Michigan State University,311,19000.0,18.0,19248,90,Construction Engineering
University of Cincinnati,315,18000.0,18.0,18096,93,Construction Engineering
University of Utah,318,19000.0,18.0,21600,93,Construction Engineering
University of Missouri – Columbia,311,19500.0,18.0,18000,91,Construction Engineering
Indiana University Bloomington (additional entry),318,19500.0,18.0,19296,92,Construction Engineering
Boston University (additional entry),318,21000.0,17.0,36918,95,Construction Engineering
University of Colorado (additional entry),315,20000.0,17.0,21384,90,Construction Engineering
North Carolina State University (additional entry),311,19500.0,18.0,20448,90,Construction Engineering
Johns Hopkins University - Engineering,321,21000.0,17.0,40800,93,Construction Engineering
Duke University - Pratt School of Engineering,330,22000.0,16.0,40800,96,Construction Engineering
Brown University - School of Engineering,329,21500.0,17.0,40800,94,Construction Engineering
Purdue University - College of Engineering,325,20500.0,17.0,19464,94,Construction Engineering
University of Texas Austin - Cockrell School of Engineering,329,21500.0,17.0,22800,95,Construction Engineering
University of Wisconsin Madison - College of Engineering,324,19500.0,18.0,22800,93,Construction Engineering
Iowa State University - College of Engineering,327,20000.0,17.0,19248,93,Construction Engineering
Northwestern University - Robert R. McCormick School of Engineering,327,22000.0,16.0,42000,95,Construction Engineering
Vanderbilt University - School of Engineering,322,22000.0,16.0,40800,94,Construction Engineering
University of Virginia - School of Engineering and Applied Sciences,323,21000.0,17.0,39600,97,Construction Engineering
University of Minnesota Twin Cities - College of Science and Engineering,324,19500.0,18.0,22800,96,Construction Engineering
Rensselaer Polytechnic Institute - School of Engineering,321,22000.0,16.0,40800,97,Construction Engineering
University of Rochester - Hajim School of Engineering and Applied Sciences,321,21500.0,17.0,39600,93,Construction Engineering
University of Southern California - Viterbi School of Engineering,328,21000.0,17.0,40800,95,Construction Engineering
University of Maryland College Park - A. James Clark School of Engineering,321,20500.0,17.0,22800,96,Construction Engineering
Ohio State University - College of Engineering,323,20000.0,17.0,20760,96,Construction Engineering
Virginia Tech - College of Engineering,330,20000.0,17.0,22800,93,Construction Engineering
University of California Irvine - Henry Samueli School of Engineering,322,20500.0,17.0,22800,96,Construction Engineering
University of Michigan – Ann Arbor,328,19000.0,18.0,22800,95,Construction Engineering
University of Illinois – Urbana Champaign,322,19500.0,18.0,22800,93,Construction Engineering
Yale University,330,22000.0,16.0,40800,95,Construction Engineering
University of California – Los Angeles,324,21000.0,17.0,29604,94,Construction Engineering
University of Maryland – College Park,329,20500.0,17.0,22800,94,Construction Engineering
Cornell University,323,21500.0,17.0,25332,97,Construction Engineering
Columbia University,328,22000.0,16.0,42300,94,Construction Engineering
Dartmouth College,326,22000.0,16.0,40800,97,Construction Engineering
Brown University,324,21500.0,17.0,40800,94,Construction Engineering
John Hopkins University,328,21000.0,17.0,40800,93,Construction Engineering
University of Minnesota,323,19000.0,18.0,22800,93,Construction Engineering
Duke University​,330,22000.0,16.0,40800,95,Construction Engineering
Massachusetts Institute of Technology,334,22000.0,16.0,44400,96,Construction Engineering
Stanford University,331,22000.0,16.0,41000,96,Construction Engineering
California Institute of Technology,337,22000.0,16.0,40800,95,Construction Engineering
"University of California, Berkeley",338,21000.0,17.0,25254,99,Construction Engineering
Carnegie Mellon University,335,21500.0,16.0,44400,97,Construction Engineering
Princeton University,340,22000.0,16.0,42650,98,Construction Engineering
University of Texas at Austin,335,21500.0,17.0,22800,99,Construction Engineering
Harvard University,334,22000.0,16.0,42650,96,Construction Engineering
Texas A & M University,338,20500.0,17.0,18036,99,Construction Engineering
"University of Michigan, Ann Arbor",331,19000.0,18.0,22800,97,Construction Engineering
"University of Illinois, Urbana Champaign",340,20000.0,18.0,22800,98,Construction Engineering
California State University,291,12000.0,20.0,23496,81,Public Health
Cleveland State University,292,15500.0,18.0,18234,78,Public Health
Kent State University,296,14000.0,17.0,17342,82,Public Health
New York Institute of Technology,293,25000.0,16.0,36588,82,Public Health
University of Louisville,298,20500.0,15.0,17192,80,Public Health
University of Houston,297,18000.0,19.0,16888,88,Public Health
"California State University, Chico",297,13500.0,21.0,23496,88,Public Health
Oklahoma City University,298,22000.0,14.0,22530,83,Public Health
"State University of New York, Albany",296,16500.0,22.0,20952,82,Public Health
"Texas A & M University, Commerce",295,17000.0,20.0,18036,86,Public Health
Lamar University,293,14500.0,18.0,16888,84,Public Health
University of Hawaii,290,23000.0,15.0,21600,88,Public Health
University of Denver,291,28000.0,13.0,21384,84,Public Health
Loyola University Chicago,296,24500.0,16.0,39696,84,Public Health
"Illinois State University, Normal",297,15000.0,19.0,18240,79,Public Health
"Temple University, PA",290,20000.0,17.0,36144,85,Public Health
Jackson State University,294,16500.0,20.0,16884,81,Public Health
Long Island University (LIU),297,26000.0,14.0,36918,80,Public Health
Bradley University,292,18500.0,15.0,19248,82,Public Health
"University of Bridgeport, CT",292,21000.0,18.0,27414,79,Public Health
"University of Dayton, Ohio",291,19500.0,19.0,20088,81,Public Health
"Texas A & M University, Kingsville",296,17500.0,20.0,18504,80,Public Health
"University of West Florida, Pensacola",293,15500.0,21.0,18588,83,Public Health
Eastern Michigan University,292,16000.0,22.0,18096,81,Public Health
"Minnesota State University, Mankato",295,17000.0,20.0,18000,82,Public Health
"Suffolk University, MA",300,26500.0,14.0,37428,84,Public Health
"University of North Carolina, Greensboro",296,19000.0,19.0,19140,85,Public Health
New Mexico Institute of Mining & Technology,292,14500.0,21.0,18408,88,Public Health
University of Central Arkansas,293,18500.0,15.0,17232,78,Public Health
"Southeastern University, DC",296,20500.0,17.0,33356,82,Public Health
"University of Texas, Tyler",299,19000.0,19.0,19656,82,Public Health
Eastern Washington University,296,16500.0,20.0,21600,83,Public Health
"Southern Oregon University, Ashland",290,15500.0,21.0,19992,81,Public Health
University of Texas at San Antonio,293,18000.0,19.0,18096,84,Public Health
State University of West Georgia,298,17500.0,20.0,20016,82,Public Health
Ball State University,297,16000.0,22.0,19296,84,Public Health
University of Texas El Paso,297,19500.0,19.0,18504,87,Public Health
Columbus State University,296,17000.0,20.0,20172,86,Public Health
Arkansas State University,290,16500.0,21.0,17232,82,Public Health
North Dakota State University,299,15500.0,21.0,16320,87,Public Health
Dakota State University,298,15000.0,22.0,16320,85,Public Health
St Cloud State University,299,16500.0,20.0,18000,81,Public Health
Marquette University,299,25000.0,16.0,39696,80,Public Health
City College of the City of New York,294,19500.0,19.0,39888,88,Public Health
Northeastern Illinois University,291,17500.0,20.0,18924,85,Public Health
University of Detroit Mercy,294,20000.0,17.0,18924,88,Public Health
University of Arkansas Little Rock,292,18000.0,19.0,17232,78,Public Health
Alabama A & M University,294,16500.0,20.0,13893,79,Public Health
"Widener University, Pennsylvania",295,22000.0,14.0,37776,86,Public Health
Alcorn State University,290,16000.0,22.0,16872,85,Public Health
University of Texas at Dallas,306,23000.0,15.0,19656,88,Public Health
San Diego State University,305,21000.0,18.0,18901,88,Public Health
University of Texas at San Antonio,307,18500.0,15.0,18096,86,Public Health
San Francisco State University,306,20500.0,17.0,25332,88,Public Health
University of Toledo,305,19000.0,19.0,18096,90,Public Health
San Jose State University,307,21500.0,16.0,25254,88,Public Health
University of Wisconsin-Milwaukee,301,18500.0,15.0,19248,88,Public Health
Santa Clara University,303,27000.0,13.0,39924,88,Public Health
Utah State University,305,19500.0,19.0,20400,88,Public Health
"Southern Illinois University, Carbondale",304,16000.0,20.0,17472,92,Public Health
Washington State University,303,18500.0,17.0,21600,90,Public Health
Southern Methodist University,309,25000.0,15.0,39696,91,Public Health
Wayne State University,303,17500.0,19.0,19248,87,Public Health
"State University of New York, Albany",304,16500.0,22.0,20952,89,Public Health
"West Virginia University, Morgantown",303,17000.0,20.0,18240,89,Public Health
State University of New York at Binghamton,309,16000.0,21.0,22944,91,Public Health
Western Michigan University,304,15500.0,21.0,18924,89,Public Health
Arizona State University,305,20000.0,18.0,21912,91,Public Health
Stevens Institute of Technology,301,27500.0,14.0,37056,91,Public Health
University of Central Florida,304,18000.0,19.0,18588,90,Public Health
Drexel University,302,24000.0,16.0,38232,89,Public Health
Kent State University,306,14500.0,18.0,17342,90,Public Health
Northern Illinois University,302,15000.0,19.0,18924,85,Public Health
Western Kentucky University,307,16500.0,20.0,17724,92,Public Health
Central Michigan University,307,15500.0,21.0,18096,88,Public Health
Cleveland State University,310,15000.0,19.0,18234,86,Public Health
Texas A&M University,305,19000.0,17.0,18036,91,Public Health
Western Carolina University,307,16500.0,20.0,14508,88,Public Health
University of Nevada,303,18500.0,18.0,22800,87,Public Health
University of South Florida,305,17500.0,19.0,18588,87,Public Health
SUNY Binghamton,303,16000.0,21.0,22944,89,Public Health
Southern Methodist University,301,25000.0,15.0,39696,88,Public Health
New Jersey Institute of Technology,301,22000.0,16.0,35456,91,Public Health
University of Houston,308,19000.0,17.0,16888,85,Public Health
Colorado State University,309,18500.0,18.0,20400,90,Public Health
Rochester Institute of Technology,307,26000.0,14.0,31512,92,Public Health
Louisiana State University,310,17500.0,19.0,17952,86,Public Health
Auburn University,306,18000.0,19.0,17028,87,Public Health
University of Kentucky,305,17000.0,20.0,17192,88,Public Health
University of Kansas,309,17500.0,19.0,19140,90,Public Health
North Dakota State University,303,15500.0,21.0,16320,90,Public Health
Illinois Institute of Technology,304,24000.0,16.0,39696,89,Public Health
Kansas State University,301,17500.0,19.0,18048,87,Public Health
Missouri State University,307,16500.0,20.0,17760,89,Public Health
Northeastern University,310,22000.0,16.0,37428,92,Public Health
Oklahoma State University,305,18500.0,18.0,17232,89,Public Health
Oregon State University,301,18000.0,19.0,21600,92,Public Health
Tennessee Technological University,309,16500.0,20.0,14364,91,Public Health
Texas Tech University,301,18000.0,19.0,18096,85,Public Health
"University of Alabama, Huntsville",308,17000.0,20.0,17754,89,Public Health
Pennsylvania State University,319,20000.0,18.0,20880,92,Public Health
Ohio State University,312,19500.0,19.0,20760,95,Public Health
North Carolina State University,316,20500.0,17.0,20448,95,Public Health
Boston University,319,25000.0,15.0,36918,93,Public Health
"University of Colorado, Boulder",316,21500.0,16.0,21384,93,Public Health
Indiana University Bloomington,320,18500.0,18.0,19296,90,Public Health
Arizona State University,317,20000.0,18.0,21912,92,Public Health
"University of North Carolina, Greensboro",314,19000.0,19.0,19140,90,Public Health
Louisiana State University,313,17500.0,19.0,17952,93,Public Health
The University of Alabama at Birmingham,317,18000.0,19.0,17754,93,Public Health
New York University,311,27000.0,14.0,39888,94,Public Health
University of Iowa,320,17500.0,19.0,19248,95,Public Health
"University of Michigan, Dearborn",317,22000.0,16.0,20760,90,Public Health
"University of Texas, Dallas",318,19500.0,19.0,19656,95,Public Health
University of South Florida,318,17500.0,19.0,18588,94,Public Health
Colorado State University,317,18500.0,18.0,20400,94,Public Health
University of Florida,318,20000.0,18.0,20616,92,Public Health
Tulane University,312,24000.0,16.0,33732,91,Public Health
University of Southern California,312,28000.0,13.0,39696,91,Public Health
Purdue University,317,20000.0,18.0,19464,90,Public Health
University of Pennsylvania,312,28000.0,13.0,42650,92,Public Health
University of Virginia,318,22000.0,16.0,39600,93,Public Health
Rutgers University,318,18500.0,18.0,36144,91,Public Health
University of Chicago,313,27000.0,14.0,44400,91,Public Health
Northwestern University,318,26000.0,14.0,42000,94,Public Health
University of Massachusetts,317,17500.0,19.0,37428,93,Public Health
"University of Washington, Seattle",319,21500.0,16.0,25254,94,Public Health
Washington University in St. Louis,319,28500.0,13.0,44400,94,Public Health
University of Arizona,313,20000.0,18.0,21600,90,Public Health
University of Notre Dame,313,25000.0,15.0,40800,95,Public Health
Rensselaer Polytechnic Institute,315,24000.0,16.0,40800,90,Public Health
"University of California, Irvine",317,22000.0,16.0,22800,94,Public Health
"University of California, Santa Cruz",319,20500.0,17.0,22800,95,Public Health
Yale University,314,30000.0,12.0,40800,94,Public Health
"University of California, Los Angeles",320,26500.0,14.0,29604,91,Public Health
"The University of Maryland, College Park",318,19000.0,19.0,22800,95,Public Health
Cornell University,314,27500.0,14.0,25332,92,Public Health
Columbia University,316,28500.0,13.0,42300,95,Public Health
Dartmouth College,316,29000.0,12.0,40800,90,Public Health
Brown University,316,30500.0,11.0,40800,90,Public Health
John Hopkins University,313,29500.0,11.0,40800,91,Public Health
Duke University,313,30000.0,12.0,40800,95,Public Health
"University of California, San Diego",312,25500.0,15.0,22800,91,Public Health
Rice University,313,28000.0,13.0,40800,94,Public Health
University of Wisconsin,318,21000.0,17.0,22800,94,Public Health
Massachusetts Institute of Technology,311,32000.0,10.0,44400,90,Public Health
Stanford University,311,31000.0,11.0,41000,93,Public Health
California Institute of Technology,315,32500.0,10.0,40800,95,Public Health
"University of California, Berkeley",318,26500.0,14.0,25254,94,Public Health
Carnegie Mellon University,320,27500.0,14.0,44400,93,Public Health
Princeton University,316,30500.0,11.0,42650,93,Public Health
University of Texas at Austin,313,20500.0,17.0,22800,93,Public Health
Harvard University,313,33000.0,9.0,42650,93,Public Health
Texas A & M University,312,19500.0,19.0,18036,91,Public Health
"University of Michigan, Ann Arbor",313,24500.0,16.0,22800,94,Public Health
"University of Illinois, Urbana Champaign",313,23500.0,17.0,22800,94,Public Health
Purdue University,324,20000.0,18.0,19464,95,Public Health
University of Pennsylvania,322,28000.0,13.0,42650,93,Public Health
University of Virginia,327,22000.0,16.0,39600,95,Public Health
Rutgers University,325,18500.0,18.0,36144,97,Public Health
University of Chicago,322,27000.0,14.0,44400,96,Public Health
Northwestern University,326,26000.0,14.0,42000,93,Public Health
University of Massachusetts,330,17500.0,19.0,37428,93,Public Health
"University of Washington, Seattle",321,21500.0,16.0,25254,93,Public Health
Washington University in St. Louis,323,28500.0,13.0,44400,95,Public Health
University of Arizona,328,20000.0,18.0,21600,93,Public Health
University of Notre Dame,321,25000.0,15.0,40800,93,Public Health
Rensselaer Polytechnic Institute,323,24000.0,16.0,40800,95,Public Health
"University of California, Irvine",329,22000.0,16.0,22800,96,Public Health
"University of California, Santa Cruz",322,20500.0,17.0,22800,93,Public Health
Yale University,321,30000.0,12.0,40800,97,Public Health
"University of California, Los Angeles",328,26500.0,14.0,29604,96,Public Health
"The University of Maryland, College Park",327,19000.0,19.0,22800,93,Public Health
Cornell University,326,27500.0,14.0,25332,95,Public Health
Columbia University,328,28500.0,13.0,42300,93,Public Health
Dartmouth College,325,29000.0,12.0,40800,94,Public Health
Brown University,323,30500.0,11.0,40800,97,Public Health
John Hopkins University,321,29500.0,11.0,40800,97,Public Health
Duke University,328,30000.0,12.0,40800,97,Public Health
"University of California, San Diego",329,25500.0,15.0,22800,95,Public Health
Rice University,330,28000.0,13.0,40800,94,Public Health
University of Wisconsin,325,21000.0,17.0,22800,96,Public Health
Massachusetts Institute of Technology,324,32000.0,10.0,44400,96,Public Health
Stanford University,325,31000.0,11.0,41000,95,Public Health
California Institute of Technology,325,32500.0,10.0,40800,95,Public Health
"University of California, Berkeley",330,26500.0,14.0,25254,95,Public Health
Carnegie Mellon University,325,27500.0,14.0,44400,97,Public Health
Princeton University,326,30500.0,11.0,42650,94,Public Health
University of Texas at Austin,328,20500.0,17.0,22800,94,Public Health
Harvard University,329,33000.0,9.0,42650,94,Public Health
Texas A & M University,328,19500.0,19.0,18036,95,Public Health
"University of Michigan, Ann Arbor",329,24500.0,16.0,22800,93,Public Health
"University of Illinois, Urbana Champaign",330,23500.0,17.0,22800,93,Public Health
Massachusetts Institute of Technology (MIT),339,32000.0,10.0,44400,96,Public Health
Stanford University,339,31000.0,11.0,41000,98,Public Health
Harvard University,331,33000.0,9.0,42650,95,Public Health
Princeton University,332,30500.0,11.0,42650,96,Public Health
